k,spd,dsd,rd
10,8.95095007e-01,8.94829872e-01,8.62306673e-01
20,8.89527176e-01,8.91294741e-01,8.41361025e-01
30,8.84136103e-01,8.92620415e-01,8.27662395e-01
40,8.76712329e-01,8.89969068e-01,8.16615113e-01
50,8.73619090e-01,8.90410959e-01,8.06009722e-01
60,8.67962881e-01,8.89969068e-01,8.03800265e-01
70,8.65134777e-01,8.90410959e-01,8.03711887e-01
80,8.60627486e-01,8.87759611e-01,8.00707026e-01
90,8.57887760e-01,8.86433937e-01,8.00265135e-01
100,8.53468847e-01,8.86433937e-01,8.00265135e-01
110,8.53115334e-01,8.82015024e-01,8.00265135e-01
120,8.49315068e-01,8.79628811e-01,8.00265135e-01
130,8.47459125e-01,8.77154220e-01,8.00265135e-01
140,8.44012373e-01,8.75386655e-01,8.00265135e-01
150,8.41891295e-01,8.73177198e-01,8.00265135e-01
160,8.39328325e-01,8.71851525e-01,8.00265135e-01
170,8.36323464e-01,8.67697746e-01,8.00265135e-01
180,8.34114008e-01,8.66106938e-01,8.00265135e-01
190,8.31904551e-01,8.64339373e-01,8.00265135e-01
200,8.29783473e-01,8.61688025e-01,8.00265135e-01
210,8.29253204e-01,8.59478568e-01,8.00265135e-01
220,8.28104286e-01,8.57711003e-01,8.00265135e-01
230,8.26248343e-01,8.54617764e-01,8.00265135e-01
240,8.24215643e-01,8.54175873e-01,8.00265135e-01
250,8.23596995e-01,8.52850199e-01,8.00265135e-01
260,8.21829430e-01,8.49756960e-01,8.00265135e-01
270,8.20945647e-01,8.47105612e-01,8.00265135e-01
280,8.19973487e-01,8.45779938e-01,8.00265135e-01
290,8.19531595e-01,8.44454264e-01,8.00265135e-01
300,8.18824569e-01,8.43570482e-01,8.00265135e-01
310,8.16880247e-01,8.42244808e-01,8.00265135e-01
320,8.16261600e-01,8.40035351e-01,8.00265135e-01
330,8.14847548e-01,8.39593460e-01,8.00265135e-01
340,8.13963765e-01,8.37825895e-01,8.00265135e-01
350,8.13787008e-01,8.37384004e-01,8.00265135e-01
360,8.12461335e-01,8.35616438e-01,8.00265135e-01
370,8.12019443e-01,8.34290764e-01,8.00265135e-01
380,8.11489174e-01,8.33848873e-01,8.00265135e-01
390,8.11400795e-01,8.34290764e-01,8.00265135e-01
400,8.09898365e-01,8.33406982e-01,8.00265135e-01
410,8.09809987e-01,8.32081308e-01,8.00265135e-01
420,8.09014582e-01,8.31639417e-01,8.00265135e-01
430,8.08572691e-01,8.29429960e-01,8.00265135e-01
440,8.08042422e-01,8.27839152e-01,8.00265135e-01
450,8.07777287e-01,8.25894830e-01,8.00265135e-01
460,8.07865665e-01,8.24569156e-01,8.00265135e-01
470,8.07158639e-01,8.23685373e-01,8.00265135e-01
480,8.06628369e-01,8.22801591e-01,8.00265135e-01
490,8.05832965e-01,8.22801591e-01,8.00265135e-01
500,8.05391074e-01,8.21917808e-01,8.00265135e-01
